id,token,pos,class,meaning,idiomliteral
,in,IN,,,
,the,DT,,,
,sand,NN,,,
4258,the,DT,Metaphor,,
,response,NN,,,
,was,VBD,,,
,to,TO,,,
,bury,VB,,,
,her,PRP$,,,
,head,NN,,,
,in,IN,,,
,the,DT,,,
,sand,NN,,,
4259,the,DT,Metaphor,,
,response,NN,,,
,was,VBD,,,
,to,TO,,,
,bury,VB,,,
,his,PRP$,,,
,head,NN,,,
,in,IN,,,
,the,DT,,,
,sand,NN,,,
4260,the,DT,Metaphor,the part that carries out an object's particular function,
,business,NN,,,
,end,NN,,,
4261,take,VB,Metaphor,,
,time,NN,,,
,out,IN,,,
,to,TO,,,
,become,VB,,,
,really,RB,,,
,familiar,JJ,,,
,with,IN,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,a,DT,,,
,recording,NN,,,
,studio,NN,,,
4262,become,VBN,Metaphor,,
,really,RB,,,
,familiar,JJ,,,
,with,IN,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
4263,it,PRP,Metaphor,,
,was,VBD,,,
,at,IN,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,where,WRB,,,
,the,DT,,,
,main,JJ,,,
,difference,NN,,,
,lay,VBD,,,
4264,which,WDT,Metaphor,,
,is,VBZ,,,
,apparently,RB,,,
,the,DT,,,
,``,``,,,
,business,NN,,,
,end,NN,,,
,'','',,,
,of,IN,,,
,all,PDT,,,
,the,DT,,,
,endotoxins,NNS,,,
4265,neither,DT,Metaphor,,
,of,IN,,,
,which,WDT,,,
,got,VBD,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,right,NN,,,
4266,Her,PRP$,Metaphor,,
,hair,NN,,,
,",",",",,,
,left,VBD,,,
,to,TO,,,
,its,PRP$,,,
,own,JJ,,,
,devices,NNS,,,
,to,TO,,,
,dry,VB,,,
,",",",",,,
,looked,VBD,,,
,like,IN,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,a,DT,,,
,witch,NN,,,
,'s,POS,,,
,broom,NN,,,
4267,The,DT,Metaphor,,
,receiver,NN,,,
,unit,NN,,,
,needs,VBZ,,,
,to,TO,,,
,face,VB,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,mouse,NN,,,
4268,the,DT,Metaphor,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,all,DT,,,
,tackle,NN,,,
,is,VBZ,,,
,a,DT,,,
,bend,NN,,,
4269,This,DT,Metaphor,,
,was,VBD,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,her,PRP$,,,
,trip,NN,,,
,but,CC,,,
,before,IN,,,
,she,PRP,,,
,started,VBD,,,
,she,PRP,,,
,wandered,VBD,,,
,along,IN,,,
,a,DT,,,
,crowded,JJ,,,
,beach,NN,,,
4270,This,DT,Metaphor,,
,was,VBD,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,her,PRP$,,,
,trip,NN,,,
4271,It,PRP,Metaphor,,
,turns,VBZ,,,
,out,RP,,,
,that,IN,,,
,the,DT,,,
,business-end,NN,,,
,of,IN,,,
,thrombin,NN,,,
,is,VBZ,,,
,plugged,VBN,,,
,by,IN,,,
,the,DT,,,
,hirudin,NN,,,
4272,he,PRP,Metaphor,,
,was,VBD,,,
,able,JJ,,,
,to,TO,,,
,see,VB,,,
,first,JJ,,,
,hand,NN,,,
,what,WP,,,
,went,VBD,,,
,on,IN,,,
,at,IN,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
,of,IN,,,
,the,DT,,,
,oil,NN,,,
,industry,NN,,,
4273,he,PRP,Metaphor,,
,was,VBD,,,
,able,JJ,,,
,to,TO,,,
,see,VB,,,
,first,JJ,,,
,hand,NN,,,
,what,WP,,,
,went,VBD,,,
,on,IN,,,
,at,IN,,,
,the,DT,,,
,business,NN,,,
,end,NN,,,
4274,far,RB,Metaphor,,
,enough,RB,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,needles,NNS,,,
,at,IN,,,
,the,DT,,,
,``,``,,,
,business,NN,,,
,'','',,,
,end,NN,,,
4275,The,DT,Metaphor,,
,business,NN,,,
,end,NN,,,
,has,VBZ,,,
,a,DT,,,
,hinged,VBN,,,
,flap,NN,,,
,which,WDT,,,
,conceals,VBZ,,,
,all,PDT,,,
,the,DT,,,
,sockets,NNS,,,
4276,a,DT,Metaphor,a holiday that involves doing the same thing that you do at work,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4277,a,DT,Metaphor,,
,fire,NN,,,
,crew,NN,,,
,'s,POS,,,
,Christmas,NNP,,,
,outing,NN,,,
,turned,VBD,,,
,into,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
,when,WRB,,,
,their,PRP$,,,
,coach,NN,,,
,caught,NN,,,
,fire,NN,,,
4278,a,DT,Metaphor,,
,fire,NN,,,
,crew,NN,,,
,'s,POS,,,
,Christmas,NNP,,,
,outing,NN,,,
,turned,VBD,,,
,into,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4279,it,PRP,Metaphor,,
,turned,VBD,,,
,into,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4280,a,DT,Metaphor,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
,is,VBZ,,,
,a,DT,,,
,holiday,NN,,,
,spent,VBN,,,
,doing,VBG,,,
,one,CD,,,
,'s,POS,,,
,normal,JJ,,,
,paid,VBN,,,
,work,NN,,,
4281,miniature,NN,Metaphor,,
,benches,NNS,,,
,and,CC,,,
,wooden,JJ,,,
,walling,NN,,,
,:,:,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
,to,TO,,,
,a,DT,,,
,craftsman,NN,,,
,carpenter,NN,,,
4282,a,DT,Metaphor,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
,to,TO,,,
,a,DT,,,
,craftsman,NN,,,
,carpenter,NN,,,
4283,A,DT,Metaphor,,
,group,NN,,,
,of,IN,,,
,RAF,NNP,,,
,technicians,NNS,,,
,and,CC,,,
,pilots,NNS,,,
,are,VBP,,,
,taking,VBG,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4284,they,PRP,Metaphor,,
,are,VBP,,,
,taking,VBG,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4285,he,PRP,Metaphor,,
,'s,VBZ,,,
,taking,VBG,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4286,she,PRP,Metaphor,,
,had,VBD,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4287,which,WDT,Metaphor,,
,in,IN,,,
,the,DT,,,
,event,NN,,,
,developed,VBD,,,
,into,IN,,,
,something,NN,,,
,of,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
,as,IN,,,
,he,PRP,,,
,was,VBD,,,
,persuaded,VBN,,,
4288,which,WDT,Metaphor,,
,in,IN,,,
,the,DT,,,
,event,NN,,,
,developed,VBD,,,
,into,IN,,,
,something,NN,,,
,of,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4289,it,PRP,Metaphor,,
,turned,VBD,,,
,into,IN,,,
,something,NN,,,
,of,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4290,Wycliffe,NNP,Metaphor,,
,was,VBD,,,
,reminded,VBN,,,
,of,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
,he,PRP,,,
,had,VBD,,,
,spent,VBN,,,
4291,executive,JJ,Metaphor,,
,officer,NN,,,
,who,WP,,,
,'s,VBZ,,,
,on,IN,,,
,a,DT,,,
,busman,NN,,,
,'s,POS,,,
,holiday,NN,,,
4292,a,DT,Euphemism,a failure,
,busted,JJ,,,
,flush,NN,,,
4293,The,DT,Euphemism,,
,Labour,NNP,,,
,Party,NNP,,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
,and,CC,,,
,can,MD,,,
,do,VB,,,
,nothing,NN,,,
,about,IN,,,
,it,PRP,,,
,.,.,,,
4294,The,DT,Euphemism,,
,Labour,NNP,,,
,Party,NNP,,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4295,He,PRP,Euphemism,,
,failed,VBD,,,
,.,.,,,
,He,PRP,,,
,'s,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4296,British,JJ,Euphemism,,
,Euro-MPs,NNP,,,
,are,VBP,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4297,of,IN,Euphemism,,
,course,NN,,,
,we,PRP,,,
,know,VBP,,,
,that,IN,,,
,functional,JJ,,,
,analysis,NN,,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4298,functional,JJ,Euphemism,,
,analysis,NN,,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4299,That,DT,Euphemism,,
,is,VBZ,,,
,n't,RB,,,
,to,TO,,,
,say,VB,,,
,that,IN,,,
,the,DT,,,
,SC,NNP,,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4300,The,DT,Euphemism,,
,online,NN,,,
,gambling,VBG,,,
,sector,NN,,,
,looked,VBD,,,
,like,IN,,,
,a,DT,,,
,busted,VBN,,,
,flush,NN,,,
,when,WRB,,,
,£,NN,,,
,3bn,CD,,,
,was,VBD,,,
,wiped,VBN,,,
,off,RP,,,
,its,PRP$,,,
,value,NN,,,
4301,The,DT,Euphemism,,
,online,NN,,,
,gambling,VBG,,,
,sector,NN,,,
,looked,VBD,,,
,like,IN,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4302,Menchov,NNP,Euphemism,,
,should,MD,,,
,be,VB,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
,at,IN,,,
,almost,RB,,,
,four,CD,,,
,minutes,NNS,,,
,back,RB,,,
4303,party,NN,Euphemism,,
,has,VBZ,,,
,already,RB,,,
,decided,VBN,,,
,that,IN,,,
,their,PRP$,,,
,leader,NN,,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4304,The,DT,Euphemism,,
,three,CD,,,
,aces,NNS,,,
,on,IN,,,
,the,DT,,,
,board,NN,,,
,were,VBD,,,
,of,IN,,,
,little,JJ,,,
,use,NN,,,
,to,TO,,,
,Thorson,NNP,,,
,and,CC,,,
,he,PRP,,,
,made,VBD,,,
,for,IN,,,
,the,DT,,,
,rail,NN,,,
,a,DT,,,
,busted,VBN,,,
,flush,NN,,,
4305,he,PRP,Euphemism,,
,made,VBD,,,
,the,DT,,,
,rail,NN,,,
,a,DT,,,
,busted,VBN,,,
,flush,NN,,,
4306,Perrin,NNP,Euphemism,,
,is,VBZ,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4307,World,NNP,Euphemism,,
,Cup,NNP,,,
,will,MD,,,
,fizzle,VB,,,
,out,RP,,,
,into,IN,,,
,a,DT,,,
,busted,JJ,,,
,flush,NN,,,
4308,butterflies,NNS,Metaphor,nervous feeling,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4309,shaking,VBG,Metaphor,,
,at,IN,,,
,the,DT,,,
,knees,NNS,,,
,",",",",,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4310,The,DT,Metaphor,,
,last,JJ,,,
,time,NN,,,
,you,PRP,,,
,...,:,,,
,got,VBD,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
,from,IN,,,
,someone,NN,,,
4311,you,PRP,Metaphor,,
,got,VBD,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4312,Symptoms,NNS,Metaphor,,
,of,IN,,,
,anxiety,NN,,,
,can,MD,,,
,vary,VB,,,
,from,IN,,,
,a,DT,,,
,few,JJ,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
,to,TO,,,
,a,DT,,,
,panic,JJ,,,
,attack,NN,,,
4313,You,PRP,Metaphor,,
,sense,VBP,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
,You,PRP,,,
,may,MD,,,
,sweat,VB,,,
,more,JJR,,,
4314,You,PRP,Metaphor,,
,sense,VBP,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4315,You,PRP,Metaphor,,
,feel,VBP,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4316,she,PRP,Metaphor,,
,senses,VBZ,,,
,butterflies,NNS,,,
,in,IN,,,
,her,PRP$,,,
,stomach,NN,,,
4317,he,PRP,Metaphor,,
,senses,VBZ,,,
,butterflies,NNS,,,
,in,IN,,,
,his,PRP$,,,
,stomach,NN,,,
4318,Perhaps,RB,Metaphor,,
,you,PRP,,,
,feel,VBP,,,
,tense,JJ,,,
,...,:,,,
,or,CC,,,
,start,VB,,,
,taking,VBG,,,
,short,JJ,,,
,",",",",,,
,fast,JJ,,,
,breaths,NNS,,,
,...,:,,,
,or,CC,,,
,feel,VB,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4319,For,IN,Metaphor,,
,those,DT,,,
,of,IN,,,
,you,PRP,,,
,about,IN,,,
,to,TO,,,
,give,VB,,,
,it,PRP,,,
,your,PRP$,,,
,first,JJ,,,
,go,VB,,,
,",",",",,,
,you,PRP,,,
,'ll,MD,,,
,get,VB,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4320,you,PRP,Metaphor,,
,'ll,MD,,,
,get,VB,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4321,Things,NNS,Metaphor,,
,are,VBP,,,
,really,RB,,,
,hotting,VBG,,,
,up,RP,,,
,now,RB,,,
,.,.,,,
,What,WP,,,
,about,IN,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
4322,What,WP,Metaphor,,
,about,IN,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
,?,.,,,
4323,Do,VBP,Metaphor,,
,n't,RB,,,
,you,PRP,,,
,think,VBP,,,
,that,IN,,,
,maybe,RB,,,
,those,DT,,,
,extra,JJ,,,
,butterflies,NNS,,,
,in,IN,,,
,your,PRP$,,,
,stomach,NN,,,
,are,VBP,,,
,worth,IN,,,
,something,NN,,,
,?,.,,,
4324,on,IN,Metaphor,exactly right or punctual,Yes
,the,DT,,,
,button,NN,,,
4325,He,PRP,Metaphor,,
,was,VBD,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4326,Ken,NNP,Metaphor,,
,'s,POS,,,
,first,JJ,,,
,pond,NN,,,
,was,VBD,,,
,right,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,in,IN,,,
,terms,NNS,,,
,of,IN,,,
,size,NN,,,
4327,On,IN,Metaphor,,
,the,DT,,,
,button,NN,,,
,!,.,,,
,Dermot,NNP,,,
,yelled,VBD,,,
4328,And,CC,Metaphor,,
,of,IN,,,
,course,NN,,,
,Lucille,NNP,,,
,was,VBD,,,
,right,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4329,Lucille,NNP,Metaphor,,
,was,VBD,,,
,right,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4330,the,DT,Metaphor,,
,exquisitely,RB,,,
,torpid,JJ,,,
,lovemaking,VBG,,,
,which,WDT,,,
,takes,VBZ,,,
,place,NN,,,
,right,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,every,DT,,,
,couple,NN,,,
,of,IN,,,
,months,NNS,,,
4331,the,DT,Metaphor,,
,exquisitely,RB,,,
,torpid,JJ,,,
,lovemaking,VBG,,,
,which,WDT,,,
,takes,VBZ,,,
,place,NN,,,
,right,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4332,she,PRP,Metaphor,,
,'s,VBZ,,,
,come,VBN,,,
,in,IN,,,
,last,JJ,,,
,night,NN,,,
,dead,NN,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4333,Caroline,NNP,Metaphor,,
,'s,POS,,,
,first,JJ,,,
,show,NN,,,
,is,VBZ,,,
,right,JJ,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4334,she,PRP,Metaphor,,
,was,VBD,,,
,right,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4335,Come,NNP,Metaphor,,
,right,NN,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4336,Joan,NNP,Metaphor,,
,was,VBD,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,for,IN,,,
,the,DT,,,
,event,NN,,,
4337,the,DT,Metaphor,,
,show,NN,,,
,was,VBD,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,every,DT,,,
,time,NN,,,
4338,Ana,NNP,Metaphor,,
,'s,POS,,,
,makeup,NN,,,
,is,VBZ,,,
,always,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,at,IN,,,
,every,DT,,,
,occassion,NN,,,
4339,her,PRP$,Metaphor,,
,makeup,NN,,,
,is,VBZ,,,
,always,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4340,she,PRP,Literal,,
,kept,VBD,,,
,her,PRP,,,
,finger,NN,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,she,PRP,,,
,had,VBD,,,
,pressed,VBN,,,
4341,She,PRP,Literal,,
,pushed,VBD,,,
,harder,NN,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,;,:,,,
,the,DT,,,
,engines,NNS,,,
,responded,VBD,,,
4342,pretending,VBG,Literal,,
,there,EX,,,
,is,VBZ,,,
,n't,RB,,,
,a,DT,,,
,mind,NN,,,
,behind,IN,,,
,the,DT,,,
,camera,NN,,,
,or,CC,,,
,a,DT,,,
,finger,NN,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
4343,clicking,VBG,Literal,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,on,IN,,,
,the,DT,,,
,far,RB,,,
,right,NN,,,
,of,IN,,,
,the,DT,,,
,Ribbon,NNP,,,
4344,You,PRP,Literal,,
,can,MD,,,
,quickly,RB,,,
,load,VB,,,
,any,DT,,,
,named,VBN,,,
,set,VBN,,,
,by,IN,,,
,clicking,VBG,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,marked,VBD,,,
,with,IN,,,
,three,CD,,,
,icons,NNS,,,
4345,He,PRP,Literal,,
,was,VBD,,,
,pressing,VBG,,,
,hard,RB,,,
,on,IN,,,
,the,DT,,,
,button,NN,,,
,and,CC,,,
,standing,VBG,,,
,patiently,RB,,,
,for,IN,,,
,the,DT,,,
,door,NN,,,
,to,TO,,,
,open,VB,,,
4346,by,IN,Metaphor,on the whole,
,and,CC,,,
,large,JJ,,,
4347,By,IN,Metaphor,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,people,NNS,,,
,still,RB,,,
,prefer,VBP,,,
,not,RB,,,
,to,TO,,,
,acknowledge,VB,,,
,these,DT,,,
,issues,NNS,,,
4348,The,DT,Metaphor,,
,Microfit,NNP,,,
,does,VBZ,,,
,help,VB,,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,by,IN,,,
,computing,VBG,,,
,the,DT,,,
,probability,NN,,,
,value,NN,,,
4349,by,IN,Metaphor,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,the,DT,,,
,working,VBG,,,
,class,NN,,,
,accepted,VBD,,,
,their,PRP$,,,
,circumstances,NNS,,,
4350,by,IN,Metaphor,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,most,JJS,,,
,of,IN,,,
,the,DT,,,
,journalism,NN,,,
,in,IN,,,
,this,DT,,,
,country,NN,,,
,is,VBZ,,,
,well,RB,,,
,below,IN,,,
,the,DT,,,
,standard,NN,,,
,that,IN,,,
,it,PRP,,,
,should,MD,,,
,be,VB,,,
4351,local,JJ,Metaphor,,
,education,NN,,,
,authorities,NNS,,,
,are,VBP,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,free,JJ,,,
,to,TO,,,
,decide,VB,,,
,for,IN,,,
,themselves,PRP,,,
4352,local,JJ,Metaphor,,
,education,NN,,,
,authorities,NNS,,,
,are,VBP,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,free,JJ,,,
4353,we,PRP,Metaphor,,
,take,VBP,,,
,to,TO,,,
,indicate,VB,,,
,a,DT,,,
,ritualized,JJ,,,
,expression,NN,,,
,of,IN,,,
,aggression,NN,,,
,which,WDT,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,is,VBZ,,,
,not,RB,,,
,seriously,RB,,,
,injurious,JJ,,,
,.,.,,,
4354,Clean,NNP,Metaphor,,
,air,NN,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,also,RB,,,
,serves,VBZ,,,
,as,IN,,,
,an,DT,,,
,example,NN,,,
,of,IN,,,
,nonrivalrous,JJ,,,
,consumption,NN,,,
4355,Clean,NNP,Metaphor,,
,air,NN,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,also,RB,,,
,serves,VBZ,,,
,as,IN,,,
,an,DT,,,
,example,NN,,,
4356,Some,DT,Metaphor,,
,argue,VBP,,,
,that,IN,,,
,conflict,NN,,,
,of,IN,,,
,interest,NN,,,
,situations,NNS,,,
,are,VBP,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,handled,VBD,,,
,properly,RB,,,
4357,conflict,NN,Metaphor,,
,of,IN,,,
,interest,NN,,,
,situations,NNS,,,
,are,VBP,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,handled,VBD,,,
,properly,RB,,,
4358,by,IN,Metaphor,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,things,NNS,,,
,go,VBP,,,
,right,RB,,,
,more,RBR,,,
,often,RB,,,
,than,IN,,,
,they,PRP,,,
,go,VBP,,,
,wrong,JJ,,,
4359,but,CC,Metaphor,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,it,PRP,,,
,merely,RB,,,
,underlines,VBZ,,,
,treble,JJ,,,
,presence,NN,,,
4360,its,PRP$,Metaphor,,
,staff,NN,,,
,do,VB,,,
,",",",",,,
,by,IN,,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,conduct,VBP,,,
,research,NN,,,
4361,By,IN,Metaphor,,
,and,CC,,,
,large,JJ,,,
,",",",",,,
,it,PRP,,,
,appears,VBZ,,,
,building,NN,,,
,societies,NNS,,,
,are,VBP,,,
,willing,JJ,,,
,to,TO,,,
,advance,VB,,,
,money,NN,,,
,on,IN,,,
,houses,NNS,,,
4362,let,VB,Metaphor,forgive and forget past offences,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4363,he,PRP,Metaphor,,
,called,VBD,,,
,on,IN,,,
,ANC,NNP,,,
,supporters,NNS,,,
,to,TO,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
,and,CC,,,
,forget,VB,,,
,old,JJ,,,
,grudges,NNS,,,
4364,Li,NNP,Metaphor,,
,Peng,NNP,,,
,proposed,VBD,,,
,to,TO,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4365,he,PRP,Metaphor,,
,'s,VBZ,,,
,not,RB,,,
,willing,JJ,,,
,to,TO,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4366,the,DT,Metaphor,,
,book,NN,,,
,ended,VBN,,,
,on,IN,,,
,a,DT,,,
,positive,JJ,,,
,note,NN,,,
,in,IN,,,
,that,DT,,,
,the,DT,,,
,enemy,NN,,,
,'s,POS,,,
,group,NN,,,
,leader,NN,,,
,tried,VBD,,,
,to,TO,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4367,the,DT,Metaphor,,
,enemy,NN,,,
,'s,POS,,,
,group,NN,,,
,leader,NN,,,
,tried,VBD,,,
,to,TO,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4368,We,PRP,Metaphor,,
,'ll,MD,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4369,we,PRP,Metaphor,,
,'ve,VBP,,,
,all,DT,,,
,got,VBD,,,
,to,TO,,,
,be,VB,,,
,friends,NNS,,,
,in,IN,,,
,a,DT,,,
,situation,NN,,,
,let,NN,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
,sort,NN,,,
,of,IN,,,
4370,let,VB,Metaphor,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
,sort,NN,,,
,of,IN,,,
4371,America,NNP,Metaphor,,
,put,VBD,,,
,Japan,NNP,,,
,back,RB,,,
,on,IN,,,
,its,PRP$,,,
,feet,NNS,,,
,",",",",,,
,dusted,VBD,,,
,it,PRP,,,
,down,RP,,,
,",",",",,,
,shook,VB,,,
,hands,NNS,,,
,with,IN,,,
,it,PRP,,,
,and,CC,,,
,said,VBD,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4372,he,PRP,Metaphor,,
,shook,VBD,,,
,hands,NNS,,,
,with,IN,,,
,her,PRP$,,,
,and,CC,,,
,said,VBD,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4373,he,PRP,Metaphor,,
,said,VBD,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4374,please,VB,Metaphor,,
,come,VB,,,
,now,RB,,,
,.,.,,,
,We,PRP,,,
,will,MD,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4375,We,PRP,Metaphor,,
,will,MD,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
4376,Why,WRB,Metaphor,,
,could,MD,,,
,n't,RB,,,
,God,NNP,,,
,let,VB,,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
,?,.,,,
4377,let,VB,Metaphor,,
,bygones,NNS,,,
,be,VB,,,
,bygones,NNS,,,
,",",",",,,
,anyway,RB,,,
4378,the,DT,Metaphor,the whole lot,
,whole,JJ,,,
,caboodle,NN,,,
4379,pop,NN,Metaphor,,
,it,PRP,,,
,in,IN,,,
,an,DT,,,
,envelope,NN,,,
,and,CC,,,
,send,VB,,,
,the,DT,,,
,whole,JJ,,,
,caboodle,NN,,,
,to,TO,,,
,Ben,VB,,,
4380,send,VB,Metaphor,,
,the,DT,,,
,whole,NN,,,
,caboodle,NN,,,
4381,The,DT,Metaphor,,
,whole,JJ,,,
,caboodle,NN,,,
,",",",",,,
,heavy,JJ,,,
,and,CC,,,
,cumbersome,JJ,,,
4382,There,EX,Metaphor,,
,is,VBZ,,,
,an,DT,,,
,argument,NN,,,
,",",",",,,
,in,IN,,,
,this,DT,,,
,high-tech,JJ,,,
,age,NN,,,
,",",",",,,
,for,IN,,,
,slashing,VBG,,,
,costs,NNS,,,
